dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
kmnist,torchvision:kmnist,topk_softmax_0125,0,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,28.533814700029325,0.5809329152107239,,0.1764705777168274,34.84326171875,0.7483333333333333,0.7505900047516889,0.8369005266577005,0.4501239000237547,0.1764705777168274,31.95248110004468
kmnist,torchvision:kmnist,topk_softmax_0125,1,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,27.890534300007857,0.366695374250412,,0.1764705777168274,34.84326171875,0.752,0.7527397982942661,0.8500838130712509,0.45161910000024363,0.1764705777168274,31.344019300013315
kmnist,torchvision:kmnist,topk_softmax_0125,2,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,111.22262809996027,0.3238084614276886,,0.1764705777168274,34.84326171875,0.7653333333333333,0.7668648877115235,0.8031070875003934,2.0854077999829315,0.1764705777168274,118.34884839999722
kmnist,torchvision:kmnist,topk_softmax_0125,3,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,73.03922650002642,0.25699886679649353,,0.1764705777168274,34.84326171875,0.75,0.7496660423889264,0.8265647878870368,0.4413893000455573,0.1764705777168274,94.32949579996057
kmnist,torchvision:kmnist,topk_softmax_0125,4,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,49.20877810003003,0.37091517448425293,,0.1764705777168274,34.84326171875,0.7346666666666667,0.7368999231809574,0.8419804479926825,0.39626060001319274,0.1764705777168274,56.61538490001112
kmnist,torchvision:kmnist,topk_softmax_0125,5,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,26.183465900016017,0.4594056308269501,,0.1764705777168274,34.84326171875,0.77,0.769736866930723,0.8025736939162016,0.8035136999678798,0.1764705777168274,30.649591199995484
kmnist,torchvision:kmnist,topk_softmax_0125,6,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,39.254907299997285,0.38676464557647705,,0.1764705777168274,34.84326171875,0.7643333333333333,0.7650362230177413,0.7919760141521692,0.4021879999781959,0.1764705777168274,43.72044449998066
kmnist,torchvision:kmnist,topk_softmax_0125,7,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,34.26048549998086,0.254340261220932,,0.1764705777168274,34.84326171875,0.7676666666666667,0.7700133546558885,0.7994598932564259,0.3984510999871418,0.1764705777168274,38.53350680001313
kmnist,torchvision:kmnist,topk_softmax_0125,8,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,26.735018000006676,0.21252967417240143,,0.1764705777168274,34.84326171875,0.7636666666666667,0.7627861397142517,0.8067491520196199,0.23575459996936843,0.1764705777168274,31.054188999987673
kmnist,torchvision:kmnist,topk_softmax_0125,9,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,78.28556990000652,0.28893914818763733,,0.1764705777168274,34.84326171875,0.7593333333333333,0.7582858791527436,0.8095683120191097,0.46356880001258105,0.1764705777168274,84.33698840002762
kmnist,torchvision:kmnist,topk_softmax_025,0,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,58.79113349999534,0.4717470705509186,,0.29411762952804565,35.04248046875,0.7643333333333333,0.7638007492298521,0.8211136814206839,0.3695292999618687,0.29411762952804565,63.62684959999751
kmnist,torchvision:kmnist,topk_softmax_025,1,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,26.328552499995567,0.35571110248565674,,0.29411762952804565,35.04248046875,0.751,0.751932088190468,0.8343905722722411,0.5189238000311889,0.29411762952804565,31.7685309999506
kmnist,torchvision:kmnist,topk_softmax_025,2,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,60.25013330002548,0.20369191467761993,,0.29411762952804565,35.04248046875,0.767,0.7673178580052091,0.7853242997080088,0.37932959996396676,0.29411762952804565,67.51494220003951
kmnist,torchvision:kmnist,topk_softmax_025,3,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,41.20641919999616,0.3663739264011383,,0.29411762952804565,35.04248046875,0.781,0.7800643983312743,0.7428410397842526,0.7676795999868773,0.29411762952804565,49.73914610000793
kmnist,torchvision:kmnist,topk_softmax_025,4,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,53.75591730000451,0.2881355881690979,,0.29411762952804565,35.04248046875,0.753,0.7541270740727855,0.8038850072771311,0.7554636999848299,0.29411762952804565,61.01423089997843
kmnist,torchvision:kmnist,topk_softmax_025,5,completed,8,12000,3000,patch,16,10,64,4,2,cuda,104970,61.95093029999407,0.27807167172431946,,0.29411762952804565,35.04248046875,0.7696666666666667,0.7700464042221149,0.7772911982610822,0.35620729997754097,0.29411762952804565,69.05739839997841
