dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
cifar10,torchvision:cifar10,topk_softmax_05,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,7.870915300009074,1.7437047958374023,,0.529411792755127,36.3828125,0.417,0.4033316254280012,1.5928611414773124,0.1450661999988369,0.5294117359887986,11.691004799999064
cifar10,torchvision:cifar10,topk_softmax_05,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,7.882952999992995,1.5910422801971436,,0.529411792755127,36.3828125,0.404,0.3914490907427957,1.6527320941289263,0.1631273000093642,0.5294117359887986,11.730256200011354
cifar10,torchvision:cifar10,topk_softmax_05,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,24.851149199996144,1.6222323179244995,,0.529411792755127,36.3828125,0.397,0.372661488183848,1.6509906961804344,0.4369620000070426,0.5294117359887986,29.31301969999913
cifar10,torchvision:cifar10,topk_softmax_05,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,28.70140669998364,1.5966103076934814,,0.529411792755127,36.3828125,0.4135,0.4007314347500493,1.6135176533744449,0.5576032000244595,0.5294117359887986,42.89389300000039
cifar10,torchvision:cifar10,topk_softmax_05,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,6.735342500003753,1.476155400276184,,0.529411792755127,36.3828125,0.395,0.3840846856038148,1.6635600385211764,0.1392629999900236,0.5294117359887986,10.136011299997335
cifar10,torchvision:cifar10,topk_softmax_05,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,10.451284000009764,1.6765698194503784,,0.529411792755127,36.3828125,0.402,0.398602150304404,1.631696275302342,0.1446448000206146,0.5294117359887986,14.146408900007373
cifar10,torchvision:cifar10,topk_softmax_05,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,7.142784800002119,1.7531249523162842,,0.529411792755127,36.3828125,0.393,0.3773507536413011,1.661339515731448,0.1270436999911908,0.5294068029948643,10.731077800010098
cifar10,torchvision:cifar10,topk_softmax_05,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,6.4302703000139445,1.5736905336380005,,0.529411792755127,36.3828125,0.412,0.3994771310406836,1.6107230016163416,0.1251530000008642,0.5293967212949481,9.692548600025477
cifar10,torchvision:cifar10,topk_softmax_05,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,114122,10.738920199975835,1.6252278089523315,,0.529411792755127,36.3828125,0.407,0.3843442475920421,1.6050113950456892,0.1483562999928835,0.529408947342918,13.9962138000119
fashion_mnist,torchvision:fashion_mnist,entmax15,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,29.956468499993207,0.3132249414920807,,0.7696420848369598,37.87939453125,0.8075,0.8096557326760285,0.5510071388312748,0.5001278000127058,0.7667407464413416,32.301195100008044
fashion_mnist,torchvision:fashion_mnist,entmax15,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,29.790603100002045,0.3403764963150024,,0.7978265881538391,37.87939453125,0.8005,0.7938911916883434,0.6006409085932232,0.6206117999972776,0.8016403147152492,31.765943599981256
fashion_mnist,torchvision:fashion_mnist,entmax15,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,27.928215099993395,0.4575539827346802,,0.7908142507076263,37.87939453125,0.8005,0.7996402741303144,0.566207427354086,0.57113450000179,0.7913089508102054,30.0352300000086
fashion_mnist,torchvision:fashion_mnist,entmax15,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,28.87280859999009,0.6565660834312439,,0.7921172380447388,37.87939453125,0.794,0.796328620858308,0.5524365462007976,0.8834797000163235,0.7871866935775393,31.265768699988257
fashion_mnist,torchvision:fashion_mnist,entmax15,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,27.699919199978467,0.6177217364311218,,0.71592777967453,37.87939453125,0.8,0.7989877510186985,0.5586209197839102,0.4425551999884192,0.7219335472299939,30.873232599988118
fashion_mnist,torchvision:fashion_mnist,entmax15,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,23.740677499998128,0.4877403378486633,,0.8221129179000854,37.87939453125,0.8005,0.7912228087590372,0.575047390801566,0.5036881999985781,0.8223761135623568,25.9068341999955
fashion_mnist,torchvision:fashion_mnist,entmax15,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,22.90062770000077,0.4660000205039978,,0.7525302767753601,37.87939453125,0.7835,0.7843749117255363,0.5959051464285169,0.4233202000032179,0.7427818973859152,24.72275370001444
fashion_mnist,torchvision:fashion_mnist,entmax15,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,30.529923599999165,0.6199561953544617,,0.793582409620285,37.87939453125,0.793,0.788644242030956,0.5320856968561808,0.4844795000099111,0.7945087807519096,32.32664789998671
